500
248 430,34 430,34 327,64 453,00 443,00
249 430,34 0,00 0,00 353,00 445,00
250 430,34 430,34 327,51 451,00 446,00
251 430,34 0,00 0,00 351,00 448,00
252 430,34 430,34 327,37 449,00 449,00
253 430,34 0,00 0,00 349,00 451,00
254 430,34 0,00 0,00 447,00 449,00
255 430,34 430,34 327,17 545,00 450,00
256 430,34 0,00 0,00 445,00 452,00
257 430,34 430,34 327,05 543,00 453,00
258 430,34 0,00 0,00 443,00 455,00
259 430,34 430,34 326,90 541,00 456,00
260 430,34 0,00 0,00 441,00 458,00
261 430,34 430,34 326,76 539,00 459,00
262 430,34 0,00 0,00 439,00 461,00
263 430,34 430,34 326,63 537,00 462,00
264 430,34 0,00 0,00 437,00 464,00
265 430,34 430,34 326,51 535,00 465,00
266 430,34 0,00 0,00 435,00 467,00
267 430,34 430,34 326,40 533,00 468,00
268 430,34 0,00 0,00 433,00 470,00
269 430,34 430,34 326,29 531,00 471,00
270 430,34 0,00 0,00 431,00 473,00
271 430,34 430,34 326,17 529,00 474,00
272 430,34 0,00 0,00 429,00 476,00
273 430,34 430,34 326,05 527,00 477,00
274 430,34 0,00 0,00 427,00 479,00
275 430,34 430,34 325,93 525,00 480,00
276 430,34 0,00 0,00 425,00 482,00
277 430,34 430,34 325,82 523,00 483,00
278 430,34 0,00 0,00 423,00 485,00
279 430,34 430,34 325,70 521,00 486,00
280 430,34 0,00 0,00 421,00 488,00
281 430,34 430,34 325,60 519,00 489,00
282 430,34 0,00 0,00 419,00 491,00
283 430,34 430,34 325,50 517,00 492,00
284 430,34 0,00 0,00 417,00 494,00
285 430,34 430,34 325,41 515,00 495,00
286 430,34 0,00 0,00 415,00 497,00
287 430,34 430,34 325,32 513,00 498,00
288 430,34 0,00 0,00 413,00 500,00
289 430,34 430,34 325,23 511,00 501,00
290 430,34 0,00 0,00 411,00 503,00
291 430,34 430,34 325,16 509,00 504,00
292 430,34 0,00 0,00 409,00 506,00
293 430,34 430,34 325,08 507,00 507,00
294 430,34 0,00 0,00 407,00 509,00
295 430,34 0,00 0,00 505,00 507,00
296 430,34 430,34 324,96 603,00 508,00
297 430,34 0,00 0,00 503,00 510,00
298 430,34 430,34 324,89 601,00 511,00
299 430,34 0,00 0,00 501,00 513,00
300 430,34 430,34 324,83 599,00 514,00
301 430,34 0,00 0,00 499,00 516,00
302 430,34 430,34 324,77 597,00 517,00
303 430,34 0,00 0,00 497,00 519,00
304 430,34 430,34 324,72 595,00 520,00
