1000
321 273,58 0,25 0,21 3,00 3.294,00 5783
322 273,58 0,25 0,21 3,00 3.304,00 5783
323 273,58 0,25 0,20 3,00 3.314,00 5783
324 273,58 0,25 0,20 3,00 3.324,00 5783
325 273,58 0,25 0,20 3,00 3.334,00 5783
326 273,58 0,25 0,20 3,00 3.344,00 5783
327 273,58 0,24 0,20 3,00 3.354,00 5783
328 273,58 0,24 0,20 3,00 3.364,00 5783
329 273,58 0,24 0,20 3,00 3.374,00 5783
330 273,58 0,24 0,20 99,00 3.384,00 5783
331 273,58 0,24 0,20 99,00 3.394,00 5809
332 273,58 0,24 0,20 99,00 3.404,00 5815
333 273,58 0,24 0,20 99,00 3.414,00 5818
334 273,58 0,24 0,20 99,00 3.424,00 5819
335 273,58 0,24 0,20 99,00 3.434,00 5820
336 273,58 0,24 0,20 99,00 3.444,00 5820
337 273,58 0,24 0,20 99,00 3.454,00 5820
338 273,58 0,24 0,20 99,00 3.464,00 5820
339 273,58 0,24 0,20 99,00 3.474,00 5820
340 273,58 0,24 0,20 99,00 3.484,00 5820
341 273,58 0,24 0,20 99,00 3.494,00 5820
342 273,58 0,24 0,20 99,00 3.504,00 5820
343 273,58 0,24 0,20 99,00 3.514,00 5820
344 273,58 0,24 0,20 99,00 3.524,00 5820
345 273,58 0,24 0,20 99,00 3.534,00 5820
346 273,58 0,24 0,20 99,00 3.544,00 5820
347 273,58 0,24 0,20 99,00 3.554,00 5820
348 273,58 0,24 0,20 99,00 3.564,00 5820
349 273,58 0,24 0,20 99,00 3.574,00 5820
350 273,58 0,24 0,20 99,00 3.584,00 5820
351 273,58 0,24 0,20 99,00 3.594,00 5820
352 273,58 0,24 0,20 99,00 3.604,00 5820
353 273,58 0,24 0,20 99,00 3.614,00 5820
354 273,58 0,24 0,20 99,00 3.624,00 5820
355 273,58 7,45 6,12 99,00 3.634,00 5820
356 273,58 7,45 6,12 99,00 3.644,00 5820
357 273,58 7,45 6,12 99,00 3.654,00 5820
358 273,58 7,45 6,12 99,00 3.664,00 5820
359 273,58 7,45 6,12 99,00 3.674,00 5820
360 273,58 7,45 6,12 14,00 3.684,00 5820
361 273,58 7,45 6,12 14,00 3.694,00 5827
362 273,58 7,45 6,12 14,00 3.704,00 5827
363 273,58 1,03 0,85 14,00 3.714,00 5827
364 273,58 1,03 0,85 14,00 3.724,00 5827
365 273,58 1,03 0,85 14,00 3.734,00 5827
366 273,58 1,03 0,85 14,00 3.744,00 5827
367 273,58 1,03 0,85 14,00 3.754,00 5827
368 273,58 1,03 0,85 14,00 3.764,00 5827
369 273,58 1,01 0,83 14,00 3.774,00 5827
370 273,58 1,01 0,83 14,00 3.784,00 5827
371 273,58 1,01 0,83 14,00 3.794,00 5827
372 273,58 1,01 0,83 14,00 3.804,00 5827
373 273,58 1,01 0,83 14,00 3.814,00 5827
374 273,58 1,01 0,83 14,00 3.824,00 5827
375 273,58 1,01 0,83 14,00 3.834,00 5827
376 273,58 1,01 0,83 14,00 3.844,00 5827
377 273,58 1,01 0,83 14,00 3.854,00 5827
378 273,58 1,01 0,83 14,00 3.864,00 5827
379 273,58 1,01 0,83 14,00 3.874,00 5827
380 273,58 1,01 0,83 14,00 3.884,00 5827
381 273,58 1,01 0,83 14,00 3.894,00 5827
382 273,58 1,01 0,83 14,00 3.904,00 5827
383 273,58 1,01 0,83 14,00 3.914,00 5833
384 273,58 0,98 0,80 14,00 3.924,00 5833
385 273,58 0,98 0,80 14,00 3.934,00 5833
386 273,58 0,98 0,80 14,00 3.944,00 5833
387 273,58 0,98 0,80 14,00 3.954,00 5833
388 273,58 0,98 0,80 14,00 3.964,00 5833
389 273,58 0,98 0,80 14,00 3.974,00 5833
390 273,58 0,98 0,80 96,00 3.984,00 5833
391 273,58 0,98 0,80 96,00 3.994,00 5854
392 273,58 6,56 5,38 96,00 4.004,00 5858
393 273,58 6,56 5,38 96,00 4.014,00 5861
394 273,58 6,56 5,38 96,00 4.024,00 5861
395 273,58 6,56 5,38 96,00 4.034,00 5861
396 273,58 6,56 5,38 96,00 4.044,00 5861
397 273,58 6,56 5,38 96,00 4.054,00 5861
398 273,58 6,56 5,38 96,00 4.064,00 5861
399 273,58 6,56 5,38 96,00 4.074,00 5861
400 273,58 6,56 5,38 96,00 4.084,00 5861
401 273,58 6,42 5,26 96,00 4.094,00 5865
402 273,58 6,40 5,25 96,00 4.104,00 5866
403 273,58 6,40 5,25 96,00 4.114,00 5866
404 273,58 6,40 5,25 96,00 4.124,00 5866
405 273,58 6,35 5,21 96,00 4.134,00 5866
406 273,58 6,34 5,20 96,00 4.144,00 5866
407 273,58 6,34 5,20 96,00 4.154,00 5866
408 273,58 6,34 5,20 96,00 4.164,00 5866
409 273,58 6,34 5,20 96,00 4.174,00 5866
410 273,58 6,28 5,15 96,00 4.184,00 5866
411 273,58 6,28 5,15 96,00 4.194,00 5866
412 273,58 6,28 5,15 96,00 4.204,00 5866
413 273,58 6,28 5,15 96,00 4.214,00 5866
414 273,58 6,28 5,15 96,00 4.224,00 5866
415 273,58 6,28 5,15 96,00 4.234,00 5866
416 273,58 6,28 5,15 96,00 4.244,00 5866
417 273,58 6,28 5,15 96,00 4.254,00 5866
418 273,58 6,28 5,15 96,00 4.264,00 5866
419 273,58 6,28 5,15 96,00 4.274,00 5866
420 273,58 6,28 5,15 6,00 4.284,00 5866
421 273,58 6,28 5,15 6,00 4.294,00 5875
422 273,58 0,38 0,31 6,00 4.304,00 5878
423 273,58 0,38 0,31 6,00 4.314,00 5879
424 273,58 0,38 0,31 6,00 4.324,00 5879
425 273,58 0,38 0,31 6,00 4.334,00 5879
426 273,58 0,38 0,31 6,00 4.344,00 5879
427 273,58 0,38 0,31 6,00 4.354,00 5879
428 273,58 0,38 0,31 6,00 4.364,00 5880
429 273,58 0,38 0,31 6,00 4.374,00 5880
430 273,58 0,38 0,31 6,00 4.384,00 5880
431 273,58 0,38 0,31 6,00 4.394,00 5880
432 273,58 0,38 0,31 6,00 4.404,00 5880
433 273,58 0,38 0,31 6,00 4.414,00 5880
434 273,58 0,38 0,31 6,00 4.424,00 5880
435 273,58 0,38 0,31 6,00 4.434,00 5880
436 273,58 0,38 0,31 6,00 4.444,00 5880
437 273,58 0,37 0,30 6,00 4.454,00 5880
438 273,58 0,37 0,30 6,00 4.464,00 5880
439 273,58 0,37 0,30 6,00 4.474,00 5880
440 273,58 0,37 0,30 6,00 4.484,00 5880
441 273,58 0,37 0,30 6,00 4.494,00 5880
442 273,58 0,37 0,30 6,00 4.504,00 5880
443 273,58 0,36 0,30 6,00 4.514,00 5880
444 273,58 0,36 0,30 6,00 4.524,00 5880
445 273,58 0,36 0,30 6,00 4.534,00 5880
446 273,58 0,36 0,30 6,00 4.544,00 5880
447 273,58 0,36 0,30 6,00 4.554,00 5880
448 273,58 0,36 0,30 6,00 4.564,00 5880
449 273,58 0,36 0,30 6,00 4.574,00 5880
450 273,58 0,36 0,29 98,00 4.584,00 5880
451 273,58 0,36 0,29 98,00 4.594,00 5901
452 273,58 5,82 4,78 98,00 4.604,00 5908
453 273,58 5,82 4,78 98,00 4.614,00 5908
454 273,58 5,82 4,78 98,00 4.624,00 5908
