500
0 42.524,09 0,00 42.524,09 0,00 0
130 181,23 -17.009,41 46,56 -4.369,54 -19,3066215474784
131 68,73 -15.884,13 16,06 -3.712,66 -19,3066215474784
132 72,56 -16.478,59 17,73 -4.027,18 -19,3066215474784
133 90,45 -16.070,71 21,36 -3.794,97 -28,1426852602184
134 87,74 -15.776,43 21,02 -3.779,52 -28,1426852602184
135 120,65 -16.052,31 29,39 -3.909,85 -28,2144007301203
136 129,70 -16.790,94 31,14 -4.031,30 -28,2144007301203
137 21,15 -17.673,68 4,78 -3.989,73 -9,04697370303135
138 8,76 -19.790,85 1,90 -4.281,19 -9,04697370303135
139 7,89 -20.296,09 1,50 -3.844,75 -9,04697370303135
140 7,31 -20.229,90 1,35 -3.736,29 -6,52866282160323
141 63,88 -21.229,88 11,60 -3.856,63 -6,52866282160323
142 8,98 -21.236,40 1,49 -3.530,34 -7,83699049226771
143 9,60 -21.136,24 1,58 -3.488,51 -7,83699049226771
144 1,78 -21.613,47 0,30 -3.589,62 31,7717350850209
145 2,69 -22.526,16 0,43 -3.571,00 37,8809561783123
146 0,99 -22.844,55 0,15 -3.367,10 37,8809561783123
147 6,21 -22.758,74 0,89 -3.255,40 37,9879277002233
148 5,87 -22.592,67 0,85 -3.258,76 21,7784653615761
149 7,76 -22.512,33 1,14 -3.303,67 21,7784653615761
150 7,91 -22.538,97 1,16 -3.313,57 16,6672861514493
151 10,39 -22.341,85 1,52 -3.272,96 35,0445932008552
152 11,71 -22.343,15 1,75 -3.346,57 35,0445932008552
153 10,77 -22.118,86 1,63 -3.346,08 -10,2669397837072
154 15,46 -21.760,16 2,41 -3.392,54 -10,2669397837072
155 24,42 -21.629,35 3,95 -3.500,25 -10,2669397837072
156 12,37 -21.145,09 2,02 -3.455,68 -10,2669397837072
157 33,11 -21.429,62 5,61 -3.631,60 17,4099084310396
158 4,64 -21.836,40 0,77 -3.634,33 17,4099084310396
159 0,83 -22.132,44 0,13 -3.552,55 17,4099084310396
160 4,01 -22.239,36 0,63 -3.486,03 17,4099084310396
161 20,55 -22.458,36 3,20 -3.492,73 17,4099084310396
162 8,19 -22.506,83 1,24 -3.399,15 17,4099084310396
163 0,89 -22.534,86 0,13 -3.400,88 16,6135092736631
164 4,84 -22.549,73 0,73 -3.406,92 -8,3629607466217
165 3,00 -22.560,63 0,45 -3.417,22 7,49936814677225
166 0,83 -22.578,81 0,13 -3.425,37 7,49936814677225
167 0,89 -22.529,17 0,13 -3.412,47 7,49936814677225
168 4,44 -22.445,89 0,68 -3.426,14 0,202316554749569
169 1,20 -22.430,86 0,18 -3.435,96 0,0282205782497091
170 1,27 -22.455,73 0,19 -3.432,85 0,0282205782497091
171 0,92 -22.483,73 0,14 -3.430,44 0,0282205782497091
172 1,59 -22.283,83 0,24 -3.391,55 12,6276295430479
173 13,27 -22.269,41 2,05 -3.448,19 12,6276295430479
174 12,07 -22.237,81 1,87 -3.445,58 -17,982137279143
175 24,91 -22.273,10 3,86 -3.450,26 -17,982137279143
176 10,59 -22.368,55 1,62 -3.431,63 -17,982137279143
177 0,24 -22.395,16 0,04 -3.406,55 -17,982137279143
178 0,05 -22.417,77 0,01 -3.401,78 -17,9564753457242
179 0,73 -22.457,77 0,11 -3.396,81 -17,9564753457242
180 4,14 -22.248,95 0,62 -3.351,32 8,5014411959507
181 1,52 -22.030,72 0,23 -3.385,70 8,5014411959507
