500
194 -0,40 31.843,31 -0,39 31.277,43 -51,2509012973838
195 -2,74 32.104,84 -2,68 31.432,99 -51,2509012973838
196 -0,21 31.790,22 -0,20 31.150,19 -51,2302124213363
197 22,78 31.562,61 22,17 30.707,40 -54,048674497096
198 -0,11 31.705,01 -0,10 30.621,70 -4,21197163451378
199 0,07 31.503,81 0,07 30.714,58 -4,21197163451378
200 6,88 31.462,89 6,67 30.467,44 -9,36867744679274
201 -3,24 31.821,70 -3,13 30.752,89 -59,0430518251181
202 55,79 31.504,38 54,43 30.732,54 -55,6123545471129
203 54,02 31.492,56 52,55 30.634,06 -56,3161433816248
204 48,17 31.497,16 46,06 30.118,96 -56,3161433816248
205 46,16 31.483,09 44,92 30.641,26 -58,8085386821554
206 36,79 31.479,30 35,89 30.715,28 -21,8221801546058
207 29,68 31.481,56 28,97 30.720,20 -21,8221801546058
208 27,21 31.478,60 26,58 30.750,30 -21,8221801546058
209 24,58 31.483,35 23,63 30.268,73 -21,8221801546058
210 19,95 31.506,86 19,51 30.811,50 -21,4833763637853
211 16,32 31.527,76 15,97 30.857,67 9,3931481671392
212 18,43 31.513,42 18,05 30.862,46 -56,2476496264131
213 14,88 31.523,33 14,58 30.882,82 -56,2476496264131
214 11,07 31.536,24 10,86 30.916,76 -56,2476496264131
215 7,73 31.530,02 7,57 30.906,02 -49,3820353790604
216 2,45 31.519,64 2,40 30.874,49 -49,3527224372879
217 -0,41 31.689,02 -0,40 31.023,29 -38,5927310339153
218 4,22 31.804,96 4,12 31.036,52 0,114834781003437
219 -0,14 31.718,30 -0,14 30.837,47 2,28187219634375
220 8,68 31.668,87 8,48 30.953,67 12,7120228325774
221 6,06 31.641,33 5,93 30.956,50 12,7120228325774
222 0,45 31.657,78 0,44 31.018,19 3,9943745319818
223 0,20 31.654,94 0,19 30.944,01 3,9943745319818
224 0,81 31.689,25 0,79 30.914,79 -3,82545597082837
225 0,36 31.710,53 0,35 30.941,08 -26,6709771057488
226 0,30 31.815,10 0,29 30.954,14 -26,6709771057488
227 0,07 31.794,50 0,07 31.089,81 -26,6709771057488
228 0,07 31.909,60 0,07 31.197,62 -26,6709771057488
229 0,24 31.815,32 0,23 31.141,98 -26,6709771057488
230 0,29 31.869,67 0,28 31.178,11 -14,3465773303168
231 0,79 31.851,09 0,78 31.214,71 -14,3465773303168
232 0,09 31.866,22 0,09 31.230,87 -14,3465773303168
233 1,92 31.865,82 1,88 31.244,61 -14,9602163500201
234 -0,69 31.898,79 -0,67 31.289,97 -7,06530974788058
235 -4,05 31.944,69 -3,98 31.359,50 -11,3052050629138
236 -5,82 31.978,13 -5,71 31.414,69 -11,3052050629138
237 -3,75 31.981,28 -3,68 31.419,30 -5,51127894622944
238 -5,03 32.011,76 -4,94 31.429,57 -5,51127894622944
239 -2,62 32.026,49 -2,57 31.463,81 -5,08577139332729
240 -2,65 32.037,38 -2,61 31.482,05 -0,387150906889186
241 -3,15 32.049,38 -3,10 31.497,60 -0,610891382302064
242 -3,39 32.064,45 -3,33 31.513,37 -9,41400969655721
243 -6,68 32.152,92 -6,56 31.594,39 -5,20266657060502
244 4,09 32.207,99 4,03 31.682,83 -10,404953003646
245 16,78 32.184,60 16,52 31.677,88 16,213567996785
246 21,47 32.159,39 21,12 31.631,58 -8,46972299720801
247 -0,11 32.138,88 -0,11 31.581,42 -8,46972299720801
248 -1,36 32.231,71 -1,34 31.625,94 -7,06290579545682
249 1,26 32.162,32 1,23 31.599,20 -7,06290579545682
250 -2,51 32.279,44 -2,47 31.712,29 -7,06290579545682
251 9,40 32.281,16 9,22 31.654,60 -7,06290579545682
252 13,42 32.212,50 13,15 31.545,90 -7,06290579545682
253 11,84 32.195,65 11,63 31.605,24 -7,06290579545682
254 9,47 32.185,67 9,22 31.345,88 -7,54414377335157
255 3,15 32.189,19 3,09 31.558,47 1,01322779837534
256 -0,03 32.194,95 -0,03 31.517,66 1,01322779837534
257 -0,13 32.193,89 -0,12 31.430,06 1,01322779837534
258 -0,03 32.231,00 -0,03 31.463,19 1,01322779837534
259 -4,78 32.415,59 -4,66 31.600,35 1,01322779837534
260 0,81 32.268,06 0,79 31.351,52 1,01322779837534
261 -2,60 32.359,43 -2,51 31.278,22 -13,1998031115051
262 0,11 32.374,61 0,10 31.702,08 -13,1998031115051
263 7,41 32.341,75 7,25 31.629,64 -13,1998031115051
264 -3,53 32.420,31 -3,46 31.805,45 -24,4678869116518
265 0,10 32.318,79 0,10 31.580,44 12,299752006535
266 0,12 32.337,05 0,12 31.642,03 12,299752006535
267 -0,71 32.400,71 -0,70 31.652,61 14,9832283552758
268 0,12 32.508,63 0,12 31.755,28 14,9832283552758
269 -0,12 32.519,77 -0,12 31.776,55 0,457491754693023
270 15,32 32.459,36 14,93 31.618,07 0,457491754693023
271 13,19 32.660,59 12,78 31.664,80 11,6564051771941
272 21,42 32.609,94 20,82 31.693,57 11,6564051771941
273 -0,09 33.070,73 -0,08 31.952,66 -13,6575931855055
274 45,67 33.300,87 44,07 32.132,28 -13,6575931855055
275 18,03 33.000,70 17,23 31.546,15 3,55875452639519
276 25,13 32.996,14 23,71 31.140,66 -3,51106457506032
277 12,62 33.080,79 11,94 31.286,58 -3,51106457506032
278 7,45 33.394,37 7,00 31.372,92 -3,51106457506032
279 47,52 33.374,60 44,69 31.386,31 -3,51106457506032
280 74,25 33.239,87 69,16 30.962,91 -18,394742391556
281 63,84 33.330,77 59,32 30.971,18 30,5461484987995
282 56,41 33.284,92 52,68 31.081,82 43,0907590745035
283 17,58 33.462,44 16,40 31.212,35 43,0907590745035
284 30,21 33.514,50 28,23 31.325,70 60,3589705062844
285 78,79 33.410,53 73,65 31.231,65 61,3492412647305
286 -1,75 33.254,95 -1,64 31.093,07 60,6863819416599
287 0,13 33.184,96 0,12 31.194,54 60,6863819416599
288 5,19 33.192,80 4,91 31.368,04 60,6863819416599
289 -1,04 33.317,28 -0,99 31.734,69 60,5323488935405
290 -0,18 33.287,85 -0,17 31.966,98 60,5323488935405
291 1,84 33.210,88 1,76 31.893,75 -31,7045443223405
292 -1,42 33.354,44 -1,36 32.078,13 -44,5689356078577
293 -0,08 33.295,46 -0,07 32.143,02 -44,5689356078577
294 0,15 33.295,80 0,15 32.193,82 -44,5637706672734
295 2,32 33.284,55 2,24 32.152,40 -41,1124302309849
296 -0,20 33.416,97 -0,20 32.278,64 -41,1124302309849
297 18,19 33.290,38 17,57 32.158,27 -30,041152975322
298 -2,50 33.404,05 -2,43 32.463,59 -30,2839836760428
299 0,24 33.557,78 0,24 32.359,97 -30,2839836760428
300 3,33 33.559,24 3,26 32.815,68 -30,2839836760428
301 -0,15 33.641,54 -0,15 32.722,54 -40,1790973405544
302 14,51 33.432,38 14,13 32.577,37 -40,1790973405544
303 9,97 33.503,24 9,71 32.607,10 -40,1790973405544
304 5,31 33.572,06 5,11 32.351,15 -40,1790973405544
305 7,20 33.563,17 6,98 32.572,98 -42,9134663214005
306 8,62 33.547,05 8,38 32.596,20 -42,9134663214005
307 4,45 33.567,45 4,33 32.626,02 -42,9134663214005
308 -0,07 33.559,97 -0,07 32.873,79 -42,9134663214005
309 -0,03 33.595,77 -0,03 32.731,74 -43,5340243444921
310 2,11 33.637,34 2,07 32.906,19 -43,5340243444921
311 -0,09 33.595,91 -0,09 32.930,60 -43,5340243444921
312 -1,35 33.632,67 -1,32 32.825,21 -15,2121112507883
313 -0,15 33.590,93 -0,14 32.786,57 -5,86150142082531
314 -4,91 33.725,20 -4,79 32.886,50 26,9560499530558
315 -0,12 33.598,19 -0,12 32.698,14 0,0682341441477772
316 -0,18 33.601,52 -0,17 32.801,73 -8,52358206519594
317 -0,03 33.598,62 -0,03 32.687,50 -5,4761236118854
318 1,41 33.674,31 1,37 32.778,46 -7,55742614631496
