500
0 25.567,17 0,00 25.567,17 0,00 0
187 34,05 42.405,64 30,91 38.493,42 -28,9869120353127
188 47,39 42.427,67 43,50 38.944,82 19,7027854422482
189 0,03 42.647,46 0,02 39.290,51 21,5766388015792
190 2,86 42.469,39 2,66 39.517,95 20,3514765071286
191 15,72 41.981,03 14,55 38.868,25 20,3514765071286
192 9,07 41.746,82 8,31 38.291,80 20,3514765071286
193 36,26 41.791,24 33,11 38.156,70 25,6799878652942
194 78,76 41.439,89 72,29 38.036,01 36,5710150720141
195 14,85 41.570,92 13,50 37.792,91 27,4242318015332
196 42,73 41.553,71 38,81 37.742,36 30,436802477917
197 9,48 41.546,33 8,59 37.631,91 86,6367921968948
198 10,77 41.620,65 9,72 37.543,87 86,6367921968948
199 12,43 41.528,11 11,30 37.775,99 236,750677008596
200 21,50 41.820,08 19,45 37.839,34 236,750677008596
201 33,11 41.942,83 30,07 38.084,74 236,750677008596
202 87,90 41.881,25 80,29 38.253,33 239,027334682124
203 1,76 42.038,11 1,61 38.422,94 245,863235778971
204 82,92 41.662,22 74,68 37.522,85 245,863235778971
205 21,67 41.571,23 19,73 37.856,20 288,781174907558
206 39,99 41.518,16 36,46 37.852,09 186,676769649012
207 36,19 41.547,93 32,96 37.845,94 171,151508289861
208 45,88 41.650,33 41,86 37.998,40 174,393055359621
209 65,97 41.578,89 59,34 37.400,81 171,072660429125
210 86,84 41.845,97 79,35 38.236,75 175,274354057503
211 18,35 41.769,12 16,85 38.363,59 175,92531111245
212 48,88 41.810,89 44,85 38.362,32 175,447515330688
213 8,25 41.766,24 7,58 38.371,02 181,970691312142
214 54,91 41.730,02 50,43 38.329,11 181,970691312142
215 67,01 41.638,26 61,49 38.208,22 171,621859566095
216 62,94 41.625,74 57,63 38.112,57 171,621859566095
217 0,09 41.536,15 0,08 38.007,23 231,503281017669
218 5,43 41.651,15 4,93 37.835,72 231,283561942241
219 2,00 41.663,69 1,81 37.719,37 232,013057963497
220 2,25 41.630,15 2,05 37.954,32 230,147383952731
221 0,10 41.584,13 0,10 37.956,63 230,147383952731
222 0,26 41.627,40 0,24 38.038,52 230,147383952731
223 0,50 41.595,45 0,45 37.934,59 230,147383952731
224 0,73 41.468,54 0,66 37.727,63 230,147383952731
225 0,58 41.553,86 0,52 37.710,67 236,895640257622
226 0,42 41.581,77 0,38 37.675,13 236,895640257622
