500
0 10.335,85 0,00 10.335,85 0,00 0
267 0,22 60.522,55 0,24 65.663,11 12,1741701725358
268 -0,01 60.568,02 -0,01 65.611,37 12,1741701725358
269 -0,87 60.828,02 -0,94 65.857,37 12,1741701725358
270 9,51 60.553,32 10,30 65.534,51 12,1741701725358
271 19,30 60.571,13 20,71 65.013,07 12,5705247989581
272 21,61 60.590,49 23,19 65.013,61 12,5705247989581
273 0,74 60.516,02 0,79 64.617,67 8,32540175756342
274 0,45 60.546,23 0,48 64.032,61 8,32540175756342
275 0,41 60.564,91 0,43 63.601,87 8,74102399943034
276 0,38 60.574,07 0,39 63.190,07 8,74102399943034
277 0,52 60.596,39 0,54 63.360,67 8,74102399943034
278 0,89 60.610,14 0,93 62.894,71 13,6403528048209
279 0,68 60.622,59 0,70 62.689,19 19,6211261855813
280 0,11 60.630,71 0,11 62.219,72 27,8299109077681
281 0,13 60.640,32 0,13 62.209,76 27,8299109077681
282 0,22 60.646,70 0,23 62.449,67 27,8129520172913
283 0,12 60.656,58 0,12 62.438,14 27,8129520172913
284 -0,06 60.673,44 -0,06 62.427,83 -1,40591865868916
285 0,22 60.680,09 0,22 62.409,70 -1,40591865868916
286 -4,36 60.917,44 -4,49 62.770,71 108,738390463535
287 1,68 60.737,49 1,75 63.337,60 148,964809021197
288 0,25 60.922,97 0,26 63.748,87 127,607096193325
289 0,05 60.900,83 0,05 64.409,73 127,607096193325
290 1,16 61.221,46 1,24 65.130,50 125,891175418823
291 1,30 61.212,71 1,39 65.330,35 126,458912745471
292 0,55 61.258,56 0,59 65.446,01 125,4654694369
293 -0,41 61.525,01 -0,44 65.801,66 -48,9328477802926
294 -1,79 61.624,10 -1,92 66.273,30 -48,8932388616077
295 0,45 61.691,00 0,49 66.257,64 -50,5609001955073
296 -0,31 61.835,11 -0,33 66.391,12 -45,8249717344063
297 7,08 62.262,10 7,60 66.763,92 -48,1053031738506
298 1,40 62.255,23 1,52 67.565,54 -48,1053031738506
299 2,62 62.506,99 2,81 66.947,49 -48,0928827429651
300 21,91 62.825,19 23,78 68.191,94 -50,4139238363573
301 9,74 62.706,97 10,53 67.728,69 -51,3108180310839
302 0,72 62.623,45 0,77 67.488,99 -51,3272138497956
303 4,16 62.582,53 4,49 67.478,77 -47,1752591665056
304 7,97 62.550,47 8,50 66.661,74 -3,30230458756994
305 9,46 62.555,45 10,14 67.032,85 -3,16244228739496
306 8,29 62.559,80 8,90 67.133,52 2,34039206748767
307 11,55 62.647,39 12,40 67.270,00 -15,0574492090653
308 1,13 62.561,02 1,22 67.778,73 -14,7636945975649
309 0,10 62.556,46 0,11 67.344,83 -14,7636945975649
310 0,45 62.593,56 0,48 67.616,79 -4,23570324583894
311 3,05 62.646,93 3,30 67.814,30 -4,23570324583894
312 0,45 62.685,71 0,48 67.667,80 -4,23570324583894
313 2,06 62.744,00 2,22 67.739,79 5,51893273682392
314 -0,20 62.663,38 -0,21 67.661,39 4,72866816929629
315 0,08 62.760,61 0,08 67.403,80 4,73861179038325
316 -0,93 62.743,25 -1,01 67.821,50 -2,42977191154965
317 0,37 62.662,87 0,40 67.458,31 -2,15216148724733
318 0,29 62.748,50 0,31 67.496,11 -1,78698734913799
319 0,55 62.681,21 0,59 67.471,17 4,21465822922924
320 -0,16 62.829,12 -0,17 67.455,09 3,96086353475756
321 -0,72 62.761,47 -0,78 67.752,27 3,96086353475756
322 0,13 62.835,53 0,14 67.590,04 14,7291154322469
323 0,25 62.780,80 0,27 67.758,28 10,7934574595716
324 1,11 62.839,80 1,20 67.884,10 8,86723607579358
325 0,55 62.808,53 0,59 67.669,36 9,44331770303415
326 0,19 62.805,14 0,20 67.459,93 1,40141079420397
327 0,03 62.806,63 0,03 67.576,77 -1,11932365139744
328 0,08 62.801,84 0,09 67.708,87 14,0044951818777
329 0,08 62.797,31 0,09 67.727,30 15,3720562010188
330 0,02 62.796,16 0,02 67.798,82 15,3720562010188
331 0,07 62.838,31 0,08 67.845,00 -3,20208189463229
332 -0,06 62.840,53 -0,06 67.908,74 -19,2870656676437
333 -0,10 62.867,21 -0,11 67.922,19 36,13546432231
334 0,40 62.869,94 0,43 67.975,71 36,2295742178518
335 0,70 62.848,74 0,76 67.952,07 36,1858544173238
336 0,10 62.851,81 0,11 67.931,06 34,7816736991511
337 0,05 62.880,69 0,06 67.929,55 34,7816736991511
